Sheet Name,Employee Code,Name,Month,Day,Value
Apr 2022,Atq -385,Finnegan Gilbert,April,1,P
Apr 2022,Atq -385,Jase Ingram,April,1,P
June 2022,Atq -385,Alyson Huber,June,1,P
June 2022,Atq -385,Jase Ingram,June,1,P
Apr 2022,Atq -387,Konner Henson,April,1,P
June 2022,Atq -389,Julien Hamilton,June,1,P
Apr 2022,Atq -393,Janelle Raymond,April,1,HML
Apr 2022,Atq -393,Emma Freeman,April,1,P
June 2022,Atq -393,Emma Freeman,June,1,P
Apr 2022,Atq -396,Karma Reeves,April,1,P
Apr 2022,Atq -396,Joel Cruz,April,1,WFH
June 2022,Atq -396,Joel Cruz,June,1,P
June 2022,Atq -396,Karma Reeves,June,1,P
Apr 2022,Atq -397,Grace Stone,April,1,P
June 2022,Atq -397,Grace Stone,June,1,P
Apr 2022,Atq -398,Bo Cordova,April,1,P
Apr 2022,Atq -398,Salvatore Hendrix,April,1,P
June 2022,Atq -398,Bo Cordova,June,1,SL
Apr 2022,Atq -400,Chad Macias,April,1,P
June 2022,Atq -401,Piper Carroll,June,1,P
Apr 2022,Atq -403,Will Mahoney,April,1,P
June 2022,Atq -403,Will Mahoney,June,1,P
Apr 2022,Atq -404,Ana Little,April,1,P
June 2022,Atq -404,Ana Little,June,1,PL
Apr 2022,Atq -405,Sofia Solis,April,1,P
Apr 2022,Atq -405,Chris Frye,April,1,WFH
June 2022,Atq -405,Chris Frye,June,1,P
June 2022,Atq -405,Sofia Solis,June,1,P
Apr 2022,Atq -406,Thanos Thakur,April,1,P
June 2022,Atq -406,Thanos Thakur,June,1,P
Apr 2022,Atq -408,Nick Orozco,April,1,LWP
June 2022,Atq -408,Nick Orozco,June,1,HWFH
Apr 2022,Atq -411,Nevaeh Waller,April,1,P
June 2022,Atq -411,Nevaeh Waller,June,1,P
June 2022,Atq -411,Samuel Murray,June,1,P
Apr 2022,Atq -412,Tucker Austin,April,1,P
June 2022,Atq -412,Tucker Austin,June,1,P
Apr 2022,Atq -414,Titus Andersen,April,1,P
June 2022,Atq -414,Mckayla Miles,June,1,P
June 2022,Atq -414,Titus Andersen,June,1,P
Apr 2022,Atq -418,Hillary Kirk,April,1,P
Apr 2022,Atq -418,Marquis Wyatt,April,1,P
June 2022,Atq -418,Marquis Wyatt,June,1,P
June 2022,Atq -418,Hillary Kirk,June,1,WFH
Apr 2022,Atq -419,Faith Hamilton,April,1,P
Apr 2022,Atq -419,Kaylah Schultz,April,1,P
June 2022,Atq -419,Faith Hamilton,June,1,P
June 2022,Atq -419,Kaylah Schultz,June,1,P
Apr 2022,Atq -421,Rylee Mullins,April,1,P
June 2022,Atq -421,Rylee Mullins,June,1,P
Apr 2022,Atq -423,Rodrigo Price,April,1,P
June 2022,Atq -423,Rodrigo Price,June,1,P
Apr 2022,Atq -426,Roman Colon,April,1,HPL
Apr 2022,Atq -428,Ciara Allison,April,1,P
Apr 2022,Atq -430,Maximus Mckenzie,April,1,WFH
Apr 2022,Atq -432,Ryann Guerrero,April,1,P
June 2022,Atq -432,Ryann Guerrero,June,1,SL
Apr 2022,Atq -433,Jayce Fuentes,April,1,P
June 2022,Atq -433,Jayce Fuentes,June,1,P
Apr 2022,Atq -435,Dean Mclaughlin,April,1,P
Apr 2022,Atq -436,Phoenix Brady,April,1,P
June 2022,Atq -436,Phoenix Brady,June,1,P
Apr 2022,Atq -437,Dallas Weeks,April,1,P
June 2022,Atq -437,Dallas Weeks,June,1,P
Apr 2022,Atq -438,Mekhi Singleton,April,1,P
Apr 2022,Atq -438,Miles Fields,April,1,P
June 2022,Atq -438,Mekhi Singleton,June,1,P
June 2022,Atq -438,Miles Fields,June,1,P
Apr 2022,Atq -440,Mckayla Parker,April,1,P
June 2022,Atq -440,Mckayla Parker,June,1,P
Apr 2022,Atq -441,Loki Lal,April,1,P
June 2022,Atq -441,Loki Lal,June,1,P
Apr 2022,Atq -443,Andrew Cummings,April,1,P
Apr 2022,Atq -443,Lyric Bartlett,April,1,WFH
June 2022,Atq -443,Lyric Bartlett,June,1,P
Apr 2022,Atq -446,April Ayers,April,1,P
June 2022,Atq -446,April Ayers,June,1,P
June 2022,Atq -448,Athena Rios,June,1,P
Apr 2022,Atq -450,Miya Hampton,April,1,P
June 2022,Atq -450,Miya Hampton,June,1,P
Apr 2022,Atq -452,Ayanna Atkins,April,1,WFH
June 2022,Atq -452,Ayanna Atkins,June,1,HSL
June 2022,Atq -452,Jaime Ritter,June,1,P
Apr 2022,Atq -453,Nehemiah Diaz,April,1,P
June 2022,Atq -453,Nehemiah Diaz,June,1,P
Apr 2022,Atq -455,Caylee Meadows,April,1,P
June 2022,Atq -455,Aditya Walls,June,1,P
Apr 2022,Atq -456,Adriel Pace,April,1,P
June 2022,Atq -456,Adriel Pace,June,1,P
Apr 2022,Atq -458,Jessie Carrillo,April,1,P
June 2022,Atq -458,Jessie Carrillo,June,1,P
Apr 2022,Atq -459,Iris Woodard,April,1,P
June 2022,Atq -459,Iris Woodard,June,1,P
June 2022,Atq -461,Josh Sharp,June,1,ML
Apr 2022,Atq -462,Jarvis Singh,April,1,P
June 2022,Atq -462,Jarvis Singh,June,1,P
Apr 2022,Atq -467,Cason David,April,1,P
Apr 2022,Atq -467,Esperanza Irwin,April,1,P
June 2022,Atq -467,Esperanza Irwin,June,1,HSL
June 2022,Atq -467,Cason David,June,1,P
Apr 2022,Atq -468,Xiomara Ruiz,April,1,P
June 2022,Atq -468,Xiomara Ruiz,June,1,P
Apr 2022,Atq -470,Jovani Pope,April,1,P
June 2022,Atq -470,Jovani Pope,June,1,LWP
Apr 2022,Atq -472,Cristofer Bernard,April,1,P
June 2022,Atq -472,Cristofer Bernard,June,1,P
June 2022,Atq -472,Quincy Mendez,June,1,P
Apr 2022,Atq -475,London Kim,April,1,P
Apr 2022,Atq -475,Rey Novak,April,1,P
June 2022,Atq -475,London Kim,June,1,P
June 2022,Atq -475,Rey Novak,June,1,P
June 2022,Atq -476,Kane Malone,June,1,P
Apr 2022,Atq -484,Adyson Moyer,April,1,P
Apr 2022,Atq -484,Demarcus Gordon,April,1,P
June 2022,Atq -484,Adyson Moyer,June,1,P
June 2022,Atq -484,Demarcus Gordon,June,1,P
Apr 2022,Atq -485,Gregory Carr,April,1,WFH
Apr 2022,Atq -331,Jonah Hamilton,April,2,WO
May 2022,Atq -331,Jonah Hamilton,May,2,P
Apr 2022,Atq -334,Boston Morse,April,2,WO
June 2022,Atq -334,Boston Morse,June,2,P
June 2022,Atq -334,Charity Singleton,June,2,P
May 2022,Atq -334,Boston Morse,May,2,P
Apr 2022,Atq -335,Madelynn Gray,April,2,WO
Apr 2022,Atq -335,Tori Shannon,April,2,WO
June 2022,Atq -335,Tori Shannon,June,2,P
June 2022,Atq -335,Madelynn Gray,June,2,WFH
May 2022,Atq -335,Tori Shannon,May,2,P
May 2022,Atq -335,Madelynn Gray,May,2,WFH
Apr 2022,Atq -343,Myla Klein,April,2,WO
June 2022,Atq -343,Myla Klein,June,2,P
May 2022,Atq -343,Myla Klein,May,2,P
Apr 2022,Atq -348,Weston Horton,April,2,WO
June 2022,Atq -348,Weston Horton,June,2,P
May 2022,Atq -348,Weston Horton,May,2,P
Apr 2022,Atq -349,Trystan Ortega,April,2,WO
June 2022,Atq -349,Trystan Ortega,June,2,LWP
May 2022,Atq -349,Trystan Ortega,May,2,P
June 2022,Atq -350,Alexander Davenport,June,2,WFH
June 2022,Atq -362,Kiana Mcmillan,June,2,P
June 2022,Atq -364,Keaton Nixon,June,2,P
Apr 2022,Atq -366,Peter Pandey,April,2,WO
June 2022,Atq -366,Peter Pandey,June,2,P
May 2022,Atq -366,Peter Pandey,May,2,P
Apr 2022,Atq -367,Briley Orr,April,2,WO
June 2022,Atq -367,Briley Orr,June,2,P
May 2022,Atq -367,Briley Orr,May,2,P
Apr 2022,Atq -368,Macie Callahan,April,2,WO
June 2022,Atq -368,Macie Callahan,June,2,P
May 2022,Atq -368,Macie Callahan,May,2,P
Apr 2022,Atq -369,Greta Horton,April,2,WO
Apr 2022,Atq -370,Ella Roth,April,2,WO
June 2022,Atq -370,Ella Roth,June,2,HPL
May 2022,Atq -370,Ella Roth,May,2,P
June 2022,Atq -371,Kayleigh Kennedy,June,2,P
Apr 2022,Atq -372,Miley Combs,April,2,WO
June 2022,Atq -372,Miley Combs,June,2,P
May 2022,Atq -372,Miley Combs,May,2,P
Apr 2022,Atq -373,Isiah Small,April,2,WO
June 2022,Atq -373,Isiah Small,June,2,P
May 2022,Atq -373,Isiah Small,May,2,P
Apr 2022,Atq -374,Kaley Fitzpatrick,April,2,WO
June 2022,Atq -374,Kaley Fitzpatrick,June,2,P
May 2022,Atq -374,Kaley Fitzpatrick,May,2,WFH
Apr 2022,Atq -375,Hailee Fitzpatrick,April,2,WO
Apr 2022,Atq -375,Kenley Marsh,April,2,WO
June 2022,Atq -375,Hailee Fitzpatrick,June,2,P
June 2022,Atq -375,Kenley Marsh,June,2,WFH
May 2022,Atq -375,Hailee Fitzpatrick,May,2,P
May 2022,Atq -375,Kenley Marsh,May,2,WFH
Apr 2022,Atq -376,Dominique Benjamin,April,2,WO
June 2022,Atq -376,Dominique Benjamin,June,2,HLWP
May 2022,Atq -376,Dominique Benjamin,May,2,P
Apr 2022,Atq -382,Gustavo Ritter,April,2,WO
June 2022,Atq -382,Gustavo Ritter,June,2,WFH
May 2022,Atq -382,Gustavo Ritter,May,2,WFH
Apr 2022,Atq -385,Finnegan Gilbert,April,2,WO
Apr 2022,Atq -385,Jase Ingram,April,2,WO
June 2022,Atq -385,Alyson Huber,June,2,P
June 2022,Atq -385,Jase Ingram,June,2,P
May 2022,Atq -385,Finnegan Gilbert,May,2,P
May 2022,Atq -385,Jase Ingram,May,2,P
Apr 2022,Atq -387,Konner Henson,April,2,WO
May 2022,Atq -387,Konner Henson,May,2,P
June 2022,Atq -389,Julien Hamilton,June,2,P
Apr 2022,Atq -393,Emma Freeman,April,2,WO
Apr 2022,Atq -393,Janelle Raymond,April,2,WO
June 2022,Atq -393,Emma Freeman,June,2,P
May 2022,Atq -393,Emma Freeman,May,2,HPL
Apr 2022,Atq -396,Joel Cruz,April,2,WO
Apr 2022,Atq -396,Karma Reeves,April,2,WO
June 2022,Atq -396,Joel Cruz,June,2,P
June 2022,Atq -396,Karma Reeves,June,2,P
May 2022,Atq -396,Karma Reeves,May,2,P
May 2022,Atq -396,Joel Cruz,May,2,PL
Apr 2022,Atq -397,Grace Stone,April,2,WO
June 2022,Atq -397,Grace Stone,June,2,P
May 2022,Atq -397,Grace Stone,May,2,P
Apr 2022,Atq -398,Bo Cordova,April,2,WO
Apr 2022,Atq -398,Salvatore Hendrix,April,2,WO
June 2022,Atq -398,Bo Cordova,June,2,P
May 2022,Atq -398,Bo Cordova,May,2,P
May 2022,Atq -398,Salvatore Hendrix,May,2,WFH
Apr 2022,Atq -400,Chad Macias,April,2,WO
May 2022,Atq -400,Chad Macias,May,2,P
June 2022,Atq -401,Piper Carroll,June,2,P
Apr 2022,Atq -403,Will Mahoney,April,2,WO
June 2022,Atq -403,Will Mahoney,June,2,P
May 2022,Atq -403,Will Mahoney,May,2,P
Apr 2022,Atq -404,Ana Little,April,2,WO
June 2022,Atq -404,Ana Little,June,2,P
May 2022,Atq -404,Ana Little,May,2,P
Apr 2022,Atq -405,Chris Frye,April,2,WO
Apr 2022,Atq -405,Sofia Solis,April,2,WO
June 2022,Atq -405,Sofia Solis,June,2,P
June 2022,Atq -405,Chris Frye,June,2,WFH
May 2022,Atq -405,Chris Frye,May,2,P
May 2022,Atq -405,Sofia Solis,May,2,P
Apr 2022,Atq -406,Thanos Thakur,April,2,WO
June 2022,Atq -406,Thanos Thakur,June,2,P
May 2022,Atq -406,Thanos Thakur,May,2,P
Apr 2022,Atq -408,Nick Orozco,April,2,WO
June 2022,Atq -408,Nick Orozco,June,2,P
May 2022,Atq -408,Nick Orozco,May,2,P
Apr 2022,Atq -411,Nevaeh Waller,April,2,WO
June 2022,Atq -411,Nevaeh Waller,June,2,P
June 2022,Atq -411,Samuel Murray,June,2,P
May 2022,Atq -411,Nevaeh Waller,May,2,P
May 2022,Atq -411,Samuel Murray,May,2,P
Apr 2022,Atq -412,Tucker Austin,April,2,WO
June 2022,Atq -412,Tucker Austin,June,2,P
May 2022,Atq -412,Tucker Austin,May,2,P
Apr 2022,Atq -414,Titus Andersen,April,2,WO
June 2022,Atq -414,Mckayla Miles,June,2,P
June 2022,Atq -414,Titus Andersen,June,2,P
May 2022,Atq -414,Titus Andersen,May,2,P
Apr 2022,Atq -418,Hillary Kirk,April,2,WO
Apr 2022,Atq -418,Marquis Wyatt,April,2,WO
June 2022,Atq -418,Marquis Wyatt,June,2,P
June 2022,Atq -418,Hillary Kirk,June,2,WFH
May 2022,Atq -418,Hillary Kirk,May,2,P
May 2022,Atq -418,Marquis Wyatt,May,2,P
Apr 2022,Atq -419,Faith Hamilton,April,2,WO
Apr 2022,Atq -419,Kaylah Schultz,April,2,WO
June 2022,Atq -419,Faith Hamilton,June,2,P
June 2022,Atq -419,Kaylah Schultz,June,2,P
May 2022,Atq -419,Faith Hamilton,May,2,P
May 2022,Atq -419,Kaylah Schultz,May,2,P
Apr 2022,Atq -421,Rylee Mullins,April,2,WO
June 2022,Atq -421,Rylee Mullins,June,2,P
May 2022,Atq -421,Rylee Mullins,May,2,P
Apr 2022,Atq -423,Rodrigo Price,April,2,WO
June 2022,Atq -423,Rodrigo Price,June,2,P
May 2022,Atq -423,Rodrigo Price,May,2,P
Apr 2022,Atq -426,Roman Colon,April,2,WO
Apr 2022,Atq -428,Ciara Allison,April,2,WO
Apr 2022,Atq -430,Maximus Mckenzie,April,2,WO
Apr 2022,Atq -432,Ryann Guerrero,April,2,WO
June 2022,Atq -432,Ryann Guerrero,June,2,P
May 2022,Atq -432,Ryann Guerrero,May,2,PL
Apr 2022,Atq -433,Jayce Fuentes,April,2,WO
June 2022,Atq -433,Jayce Fuentes,June,2,P
May 2022,Atq -433,Jayce Fuentes,May,2,P
Apr 2022,Atq -435,Dean Mclaughlin,April,2,WO
May 2022,Atq -435,Dean Mclaughlin,May,2,P
Apr 2022,Atq -436,Phoenix Brady,April,2,WO
June 2022,Atq -436,Phoenix Brady,June,2,P
May 2022,Atq -436,Phoenix Brady,May,2,P
Apr 2022,Atq -437,Dallas Weeks,April,2,WO
June 2022,Atq -437,Dallas Weeks,June,2,P
May 2022,Atq -437,Dallas Weeks,May,2,P
Apr 2022,Atq -438,Mekhi Singleton,April,2,WO
Apr 2022,Atq -438,Miles Fields,April,2,WO
June 2022,Atq -438,Mekhi Singleton,June,2,P
June 2022,Atq -438,Miles Fields,June,2,P
May 2022,Atq -438,Mekhi Singleton,May,2,P
May 2022,Atq -438,Miles Fields,May,2,P
Apr 2022,Atq -440,Mckayla Parker,April,2,WO
June 2022,Atq -440,Mckayla Parker,June,2,P
May 2022,Atq -440,Mckayla Parker,May,2,P
Apr 2022,Atq -441,Loki Lal,April,2,WO
June 2022,Atq -441,Loki Lal,June,2,P
May 2022,Atq -441,Loki Lal,May,2,P
Apr 2022,Atq -443,Andrew Cummings,April,2,WO
Apr 2022,Atq -443,Lyric Bartlett,April,2,WO
June 2022,Atq -443,Lyric Bartlett,June,2,P
May 2022,Atq -443,Lyric Bartlett,May,2,P
Apr 2022,Atq -446,April Ayers,April,2,WO
June 2022,Atq -446,April Ayers,June,2,P
May 2022,Atq -446,April Ayers,May,2,P
June 2022,Atq -448,Athena Rios,June,2,P
Apr 2022,Atq -450,Miya Hampton,April,2,WO
June 2022,Atq -450,Miya Hampton,June,2,P
May 2022,Atq -450,Miya Hampton,May,2,P
Apr 2022,Atq -452,Ayanna Atkins,April,2,WO
June 2022,Atq -452,Ayanna Atkins,June,2,HSL
June 2022,Atq -452,Jaime Ritter,June,2,P
May 2022,Atq -452,Ayanna Atkins,May,2,P
Apr 2022,Atq -453,Nehemiah Diaz,April,2,WO
June 2022,Atq -453,Nehemiah Diaz,June,2,P
May 2022,Atq -453,Nehemiah Diaz,May,2,WFH
Apr 2022,Atq -455,Caylee Meadows,April,2,WO
June 2022,Atq -455,Aditya Walls,June,2,P
May 2022,Atq -455,Caylee Meadows,May,2,P
Apr 2022,Atq -456,Adriel Pace,April,2,WO
June 2022,Atq -456,Adriel Pace,June,2,P
May 2022,Atq -456,Adriel Pace,May,2,P
Apr 2022,Atq -458,Jessie Carrillo,April,2,WO
June 2022,Atq -458,Jessie Carrillo,June,2,P
May 2022,Atq -458,Jessie Carrillo,May,2,P
Apr 2022,Atq -459,Iris Woodard,April,2,WO
June 2022,Atq -459,Iris Woodard,June,2,P
May 2022,Atq -459,Iris Woodard,May,2,P
Apr 2022,Atq -461,Josh Sharp,April,2,WO
June 2022,Atq -461,Josh Sharp,June,2,WFH
May 2022,Atq -461,Josh Sharp,May,2,P
Apr 2022,Atq -462,Jarvis Singh,April,2,WO
June 2022,Atq -462,Jarvis Singh,June,2,P
May 2022,Atq -462,Jarvis Singh,May,2,P
Apr 2022,Atq -467,Cason David,April,2,WO
Apr 2022,Atq -467,Esperanza Irwin,April,2,WO
June 2022,Atq -467,Cason David,June,2,P
June 2022,Atq -467,Esperanza Irwin,June,2,P
May 2022,Atq -467,Cason David,May,2,P
May 2022,Atq -467,Esperanza Irwin,May,2,PL
Apr 2022,Atq -468,Xiomara Ruiz,April,2,WO
June 2022,Atq -468,Xiomara Ruiz,June,2,P
May 2022,Atq -468,Xiomara Ruiz,May,2,P
Apr 2022,Atq -470,Jovani Pope,April,2,WO
June 2022,Atq -470,Jovani Pope,June,2,P
May 2022,Atq -470,Jovani Pope,May,2,WFH
Apr 2022,Atq -472,Cristofer Bernard,April,2,WO
June 2022,Atq -472,Quincy Mendez,June,2,HWFH
June 2022,Atq -472,Cristofer Bernard,June,2,P
May 2022,Atq -472,Cristofer Bernard,May,2,P
Apr 2022,Atq -475,London Kim,April,2,WO
Apr 2022,Atq -475,Rey Novak,April,2,WO
June 2022,Atq -475,London Kim,June,2,P
June 2022,Atq -475,Rey Novak,June,2,P
May 2022,Atq -475,Rey Novak,May,2,P
May 2022,Atq -475,London Kim,May,2,WFH
June 2022,Atq -476,Kane Malone,June,2,P
Apr 2022,Atq -484,Adyson Moyer,April,2,WO
Apr 2022,Atq -484,Demarcus Gordon,April,2,WO
June 2022,Atq -484,Adyson Moyer,June,2,P
June 2022,Atq -484,Demarcus Gordon,June,2,P
May 2022,Atq -484,Adyson Moyer,May,2,P
May 2022,Atq -484,Demarcus Gordon,May,2,P
Apr 2022,Atq -485,Gregory Carr,April,2,WO
Apr 2022,Atq -331,Jonah Hamilton,April,3,WO
May 2022,Atq -331,Jonah Hamilton,May,3,P
Apr 2022,Atq -334,Boston Morse,April,3,WO
June 2022,Atq -334,Boston Morse,June,3,P
June 2022,Atq -334,Charity Singleton,June,3,P
May 2022,Atq -334,Boston Morse,May,3,P
Apr 2022,Atq -335,Madelynn Gray,April,3,WO
Apr 2022,Atq -335,Tori Shannon,April,3,WO
June 2022,Atq -335,Madelynn Gray,June,3,ML
June 2022,Atq -335,Tori Shannon,June,3,P
May 2022,Atq -335,Madelynn Gray,May,3,P
May 2022,Atq -335,Tori Shannon,May,3,P
Apr 2022,Atq -343,Myla Klein,April,3,WO
June 2022,Atq -343,Myla Klein,June,3,WFH
May 2022,Atq -343,Myla Klein,May,3,P
Apr 2022,Atq -348,Weston Horton,April,3,WO
June 2022,Atq -348,Weston Horton,June,3,P
May 2022,Atq -348,Weston Horton,May,3,P
Apr 2022,Atq -349,Trystan Ortega,April,3,WO
June 2022,Atq -349,Trystan Ortega,June,3,LWP
May 2022,Atq -349,Trystan Ortega,May,3,P
June 2022,Atq -350,Alexander Davenport,June,3,WFH
June 2022,Atq -362,Kiana Mcmillan,June,3,P
June 2022,Atq -364,Keaton Nixon,June,3,P
Apr 2022,Atq -366,Peter Pandey,April,3,WO
June 2022,Atq -366,Peter Pandey,June,3,P
May 2022,Atq -366,Peter Pandey,May,3,P
Apr 2022,Atq -367,Briley Orr,April,3,WO
June 2022,Atq -367,Briley Orr,June,3,P
May 2022,Atq -367,Briley Orr,May,3,FFL
Apr 2022,Atq -368,Macie Callahan,April,3,WO
June 2022,Atq -368,Macie Callahan,June,3,P
May 2022,Atq -368,Macie Callahan,May,3,P
Apr 2022,Atq -369,Greta Horton,April,3,WO
Apr 2022,Atq -370,Ella Roth,April,3,WO
June 2022,Atq -370,Ella Roth,June,3,P
May 2022,Atq -370,Ella Roth,May,3,PL
June 2022,Atq -371,Kayleigh Kennedy,June,3,P
Apr 2022,Atq -372,Miley Combs,April,3,WO
June 2022,Atq -372,Miley Combs,June,3,P
May 2022,Atq -372,Miley Combs,May,3,P
Apr 2022,Atq -373,Isiah Small,April,3,WO
June 2022,Atq -373,Isiah Small,June,3,P
May 2022,Atq -373,Isiah Small,May,3,P
Apr 2022,Atq -374,Kaley Fitzpatrick,April,3,WO
June 2022,Atq -374,Kaley Fitzpatrick,June,3,P
May 2022,Atq -374,Kaley Fitzpatrick,May,3,WFH
Apr 2022,Atq -375,Hailee Fitzpatrick,April,3,WO
Apr 2022,Atq -375,Kenley Marsh,April,3,WO
June 2022,Atq -375,Hailee Fitzpatrick,June,3,P
June 2022,Atq -375,Kenley Marsh,June,3,P
May 2022,Atq -375,Hailee Fitzpatrick,May,3,P
May 2022,Atq -375,Kenley Marsh,May,3,P
Apr 2022,Atq -376,Dominique Benjamin,April,3,WO
June 2022,Atq -376,Dominique Benjamin,June,3,P
May 2022,Atq -376,Dominique Benjamin,May,3,P
Apr 2022,Atq -382,Gustavo Ritter,April,3,WO
June 2022,Atq -382,Gustavo Ritter,June,3,WFH
May 2022,Atq -382,Gustavo Ritter,May,3,WFH
Apr 2022,Atq -385,Finnegan Gilbert,April,3,WO
Apr 2022,Atq -385,Jase Ingram,April,3,WO
June 2022,Atq -385,Alyson Huber,June,3,P
June 2022,Atq -385,Jase Ingram,June,3,P
May 2022,Atq -385,Finnegan Gilbert,May,3,LWP
May 2022,Atq -385,Jase Ingram,May,3,SL
Apr 2022,Atq -387,Konner Henson,April,3,WO
May 2022,Atq -387,Konner Henson,May,3,P
June 2022,Atq -389,Julien Hamilton,June,3,P
Apr 2022,Atq -393,Emma Freeman,April,3,WO
Apr 2022,Atq -393,Janelle Raymond,April,3,WO
June 2022,Atq -393,Emma Freeman,June,3,P
May 2022,Atq -393,Emma Freeman,May,3,PL
Apr 2022,Atq -396,Joel Cruz,April,3,WO
Apr 2022,Atq -396,Karma Reeves,April,3,WO
June 2022,Atq -396,Joel Cruz,June,3,P
June 2022,Atq -396,Karma Reeves,June,3,P
May 2022,Atq -396,Karma Reeves,May,3,P
May 2022,Atq -396,Joel Cruz,May,3,PL
Apr 2022,Atq -397,Grace Stone,April,3,WO
June 2022,Atq -397,Grace Stone,June,3,P
May 2022,Atq -397,Grace Stone,May,3,FFL
Apr 2022,Atq -398,Bo Cordova,April,3,WO
Apr 2022,Atq -398,Salvatore Hendrix,April,3,WO
June 2022,Atq -398,Bo Cordova,June,3,P
May 2022,Atq -398,Bo Cordova,May,3,P
May 2022,Atq -398,Salvatore Hendrix,May,3,WFH
Apr 2022,Atq -400,Chad Macias,April,3,WO
May 2022,Atq -400,Chad Macias,May,3,LWP
June 2022,Atq -401,Piper Carroll,June,3,P
Apr 2022,Atq -403,Will Mahoney,April,3,WO
June 2022,Atq -403,Will Mahoney,June,3,P
May 2022,Atq -403,Will Mahoney,May,3,P
Apr 2022,Atq -404,Ana Little,April,3,WO
June 2022,Atq -404,Ana Little,June,3,P
May 2022,Atq -404,Ana Little,May,3,P
Apr 2022,Atq -405,Chris Frye,April,3,WO
Apr 2022,Atq -405,Sofia Solis,April,3,WO
June 2022,Atq -405,Sofia Solis,June,3,P
June 2022,Atq -405,Chris Frye,June,3,WFH
May 2022,Atq -405,Chris Frye,May,3,P
May 2022,Atq -405,Sofia Solis,May,3,P
Apr 2022,Atq -406,Thanos Thakur,April,3,WO
June 2022,Atq -406,Thanos Thakur,June,3,P
May 2022,Atq -406,Thanos Thakur,May,3,P
Apr 2022,Atq -408,Nick Orozco,April,3,WO
June 2022,Atq -408,Nick Orozco,June,3,P
May 2022,Atq -408,Nick Orozco,May,3,LWP
Apr 2022,Atq -411,Nevaeh Waller,April,3,WO
June 2022,Atq -411,Nevaeh Waller,June,3,P
June 2022,Atq -411,Samuel Murray,June,3,P
May 2022,Atq -411,Nevaeh Waller,May,3,P
May 2022,Atq -411,Samuel Murray,May,3,P
Apr 2022,Atq -412,Tucker Austin,April,3,WO
June 2022,Atq -412,Tucker Austin,June,3,P
May 2022,Atq -412,Tucker Austin,May,3,P
Apr 2022,Atq -414,Titus Andersen,April,3,WO
June 2022,Atq -414,Mckayla Miles,June,3,P
June 2022,Atq -414,Titus Andersen,June,3,P
May 2022,Atq -414,Titus Andersen,May,3,P
Apr 2022,Atq -418,Hillary Kirk,April,3,WO
Apr 2022,Atq -418,Marquis Wyatt,April,3,WO
June 2022,Atq -418,Hillary Kirk,June,3,P
June 2022,Atq -418,Marquis Wyatt,June,3,P
May 2022,Atq -418,Hillary Kirk,May,3,P
May 2022,Atq -418,Marquis Wyatt,May,3,P
Apr 2022,Atq -419,Faith Hamilton,April,3,WO
Apr 2022,Atq -419,Kaylah Schultz,April,3,WO
June 2022,Atq -419,Faith Hamilton,June,3,P
June 2022,Atq -419,Kaylah Schultz,June,3,P
May 2022,Atq -419,Faith Hamilton,May,3,ML
